tablet_serial,video_id,start_time,end_time
,31,946751174,946751291
,31,946764378,946764495
,31,946770427,946770544
,46,946775681,0
,46,946775929,946776046
,46,946780043,946780160
,61,946798079,946798196
,61,946799752,946799876
,31,946803549,946803666
,31,946812957,946813125
,46,946834662,946834779
,16,946858926,946859043
,16,946864443,946864560
,16,946867482,0
,16,946883879,946883996
,46,946886647,946886764
,16,946886699,946886816
,16,946942633,0
,31,946955505,946955622
,1,1484889863,1484889980
,1,1484947736,1484947853
,1,1484948397,1484948514
,1,1484948801,1484948918
,16,1484977442,1484977559
,16,1484982363,1484982480
,16,1484983157,1484983274
,16,1484983281,1484983398
,16,1484984080,1484984197
,16,1484984204,1484984321
,16,1484984328,1484984445
,16,1484989909,1484990026
,31,1485065593,1485065710
,31,1485069589,1485069706
,31,1485074776,1485074893
,31,1485076687,1485076804
,31,1485077416,1485077533
,31,1485077763,1485077880
,31,1485118190,1485118307
,31,1485118982,1485119099
,31,1485119818,1485119935
,31,1485120420,1485120604
,31,1485121018,1485121135
,46,1485239146,1485239263
,46,1485242692,1485242809
,61,1485329149,1485329266
,1,1512193366,1512193483
,1,1512197446,1512197563
,1,1512197920,1512198037
,1,1512199903,1512200020
,1,1512227432,1512227549
,1,1512228110,1512228227
,1,1512228340,1512228457
,1,1512230773,1512230890
,1,1512230902,1512231019
,1,1512231274,0
,1,1512234741,1512234858
,1,1512235425,0
,1,1512239145,1512239262
,1,1512245150,1512245270
,1,1512281341,1512281458
,16,1512283092,1512283226
,16,1512285961,0
,16,1512290333,1512290450
,16,1512291008,1512291132
,16,1512292777,1512292894
,16,1512304465,1512304582
,16,1512306868,1512306985
,16,1512308255,1512308372
,16,1512308385,1512308502
,16,1512320042,1512320159
,16,1512325013,1512325130
,16,1512325143,1512325260
,31,1512454219,0
,31,1512455380,1512455497
,31,1512459691,1512459808
,31,1512462141,1512462267
,31,1512462346,0
,31,1512475593,1512475720
,31,1512481430,1512481547
,46,1512537717,1512537834
,1,1512624867,1512624984
,1,1512627024,1512627141
,1,1512627223,1512627340
,1,1512627466,1512627583
,1,1512628123,1512628240
,1,1512629308,1512629425
,1,1512632467,1512632584
,1,1512632611,1512632728
,1,1512632957,1512633074
,1,1512633934,1512634051
,16,1512636211,1512636328
,1,1512641683,1512641800
,1,1512642671,1512642788
,1,1512644261,1512644378
,1,1512645551,1512645668
,1,1512645744,1512645861
,1,1512646883,1512647000
,1,1512647044,1512647161
,1,1512648077,1512648194
,16,1512648745,0
,1,1512649397,1512649514
,1,1512649529,1512649646
,1,1512651755,1512651872
,61,1512652295,1512652412
,1,1512653307,1512653424
,16,1512653326,0
,1,1512653739,1512653856
,1,1512661454,1512661571
,1,1512661760,1512661877
,1,1512662208,1512662325
,1,1512662323,1512662440
,1,1512663525,1512663642
,1,1512664318,1512664435
,1,1512664739,1512664858
,1,1512664953,1512665070
,16,1512665202,1512665319
,61,1512665865,1512665982
,1,1512666053,1512666170
,1,1512666094,0
,1,1512667087,1512667204
,1,1512667339,1512667456
,1,1512669946,1512670063
,1,1512670818,1512670935
,1,1512672001,0
,1,1512673299,0
,1,1512673508,1512673625
,1,1512673572,0
,1,1512675869,1512675986
,16,1512709262,1512709379
,16,1512709728,1512709845
,16,1512710590,1512710707
,1,1512711772,0
,16,1512712301,1512712418
,16,1512713093,1512713210
,16,1512713120,1512713237
,1,1512713204,1512713321
,1,1512713298,1512713415
,1,1512713354,1512713471
,31,1512713375,0
,16,1512713807,1512713924
,1,1512714010,1512714127
,16,1512714316,1512714433
,16,1512714796,1512714913
,16,1512715562,1512715679
,1,1512715633,1512715750
,1,1512715932,1512716049
,1,1512716680,1512716797
,31,1512716709,1512716826
,1,1512716802,1512716919
,1,1512716925,0
,16,1512717008,1512717125
,16,1512717019,1512717136
,16,1512717115,1512717232
,1,1512717573,1512717690
,1,1512717704,1512717821
,1,1512717797,1512717914
,1,1512717826,1512717943
,1,1512717962,1512718079
,16,1512717970,1512718087
,16,1512718287,1512718404
,1,1512718292,1512718409
,16,1512718521,1512718638
,16,1512718555,1512718672
,16,1512718646,1512718763
,16,1512718897,1512719014
,1,1512718933,1512719050
,1,1512719044,1512719161
,31,1512719078,1512719195
,16,1512719109,1512719226
,16,1512719580,0
,16,1512719870,1512719987
,1,1512720072,1512720189
,16,1512720126,1512720243
,16,1512720382,1512720499
,1,1512720530,1512720647
,16,1512720994,1512721111
,1,1512721296,1512721413
,16,1512721510,1512721627
,1,1512721710,1512721827
,16,1512722183,1512722300
,16,1512722259,1512722376
,1,1512722888,1512723005
,1,1512723008,0
,16,1512724415,1512724532
,1,1512724573,1512724690
,16,1512724673,1512724790
,16,1512724796,1512724913
,1,1512725190,1512725307
,16,1512725441,1512725558
,1,1512725453,1512725570
,16,1512725555,1512725672
,1,1512726083,1512726200
,16,1512726863,1512726980
,1,1512727043,0
,1,1512727412,1512727529
,1,1512728186,1512728303
,1,1512728342,1512728459
,31,1512728610,1512728727
,31,1512728792,1512728909
,16,1512729555,1512729672
,1,1512729586,0
,16,1512730134,1512730251
,1,1512730560,1512730677
,16,1512730858,1512730975
,1,1512731005,1512731122
,1,1512731577,1512731694
,16,1512731598,0
,16,1512732459,1512732576
,1,1512732512,1512732629
,16,1512733160,1512733277
,16,1512733699,1512733816
,1,1512735030,0
,1,1512735082,1512735199
,1,1512735188,1512735305
,16,1512735248,1512735365
,1,1512735548,1512735665
,16,1512735725,1512735842
,1,1512736038,0
,16,1512736233,1512736350
,1,1512737165,1512737282
,1,1512737994,1512738111
,1,1512738446,1512738563
,1,1512738529,1512738646
,1,1512740537,1512740654
,1,1512741273,1512741390
,1,1512741587,1512741704
,1,1512741661,1512741778
,16,1512741907,1512742024
,1,1512742137,1512742254
,1,1512742205,1512742322
,1,1512742687,1512742804
,1,1512742813,1512742930
,1,1512742937,0
,1,1512743480,1512743597
,1,1512743908,1512744025
,1,1512744088,1512744205
,1,1512744288,1512744405
,1,1512744558,1512744675
,1,1512744992,0
,1,1512745131,0
,1,1512745589,1512745705
,1,1512745758,1512745875
,1,1512745881,1512745998
,1,1512746452,1512746569
,16,1512747278,0
,16,1512747379,1512747496
,16,1512747503,1512747620
,16,1512747762,1512747879
,1,1512748025,1512748142
,31,1512748341,1512748458
,1,1512748705,1512748822
,1,1512748963,0
,16,1512749181,1512749298
,31,1512749263,1512749380
,1,1512750109,1512750226
,16,1512750474,1512750591
,31,1512751328,1512751445
,1,1512751735,0
,16,1512751881,1512751998
,1,1512751915,0
,1,1512752479,0
,1,1512753406,1512753523
,1,1512753703,1512753820
,16,1512753955,1512754072
,1,1512755745,1512755862
,1,1512756105,1512756222
,16,1512757562,1512757679
,1,1512758348,1512758465
,1,1512763408,1512763525
,16,1512795837,0
,16,1512795867,1512795984
,16,1512795943,1512796060
,16,1512797163,1512797280
,16,1512797231,1512797348
,16,1512797503,1512797620
,16,1512797558,1512797675
,16,1512797663,0
,16,1512797914,1512798031
,31,1512798111,1512798228
,1,1512798365,1512798482
,16,1512798374,1512798491
,1,1512798467,1512798628
,1,1512798654,1512798771
,1,1512798779,1512798896
,16,1512799048,1512799165
,1,1512799187,1512799487
,31,1512799297,1512799414
,1,1512799369,0
,16,1512799387,1512799504
,1,1512799570,1512799687
,1,1512799953,1512800070
,16,1512801034,1512801151
,16,1512801069,0
,1,1512801358,1512801475
,16,1512801359,1512801476
,1,1512801439,0
,16,1512801655,1512801772
,1,1512801841,1512801958
