tablet_serial,video_id,start_time,end_time
5A21000609,38,952218227,
5A21000609,97,952218255,
5A21000609,99,952218331,
5A21000609,100,952218339,
5A21000609,100,952218340,
5A21000609,105,952218675,
5A21000609,105,952218826,
5A21000609,105,952218830,
5A21000609,106,952219161,
5A21000609,106,952219177,
5A21000609,105,952219212,
5A21000609,106,952219235,
5A21000609,107,952219269,
5A21000609,107,952219270,
5A21000609,107,952219624,
5A21000609,107,952219628,
5A21000609,108,952219629,
5A21000609,108,952219695,
5A21000609,109,952219696,
5A21000609,109,952219939,
5A21000609,110,952219946,
5A21000609,110,952220205,
5A21000609,41,952489431,
5A21000609,41,952489473,
5A21000609,40,952489498,
5A21000609,60,952489516,
5A21000609,61,952489537,
5A21000609,60,952489626,
5A21000609,1,952489804,
5A21000609,1,952489829,
5A21000609,1,952489833,
5A21000609,2,952489851,
5A21000609,3,952489944,
5A21000609,4,952490040,
5A21000609,5,952490095,
5A21000609,98,952577917,
5A21000609,98,952577918,
5A21000609,99,952578299,
5A21000609,58,952578604,
5A21000609,104,952578613,
5A21000609,101,952578793,
5A21000609,101,952578794,
5A21000609,106,952579075,
5A21000609,109,952579097,
5A21000609,110,952579457,
5A21000609,108,952579714,
5A21000609,107,952579909,
5A21000609,97,952579917,
5A21000609,97,952579918,
5A21000609,105,952579991,
5A21000609,60,952580174,
5A21000609,20,952580301,
5A21000609,60,952580473,
5A21000609,18,952580507,
5A21000609,10,952580516,
5A21000609,11,952580594,
5A21000609,11,952580614,
5A21000609,11,952580617,
5A21000609,12,952580619,
5A21000609,13,952580685,
5A21000609,14,952580757,
5A21000609,15,952580834,
5A21000609,16,952580963,
5A21000609,17,952581037,
5A21000609,18,952581106,
5A21000609,19,952581175,
5A21000609,20,952581244,
5A21000609,6,952664250,
5A21000609,6,952664251,
5A21000609,6,952664453,
5A21000609,6,952664454,
5A21000609,6,952664651,
5A21000609,41,952837413,
5A21000609,42,952837572,
5A21000609,61,952837581,
5A21000609,62,952837846,
5A21000609,62,952839231,
5A21000609,15,952921895,
5A21000609,18,952921907,
5A21000609,18,952921908,
5A21000609,19,952921983,
5A21000609,4,952921997,
5A21000609,6,952922028,
5A21000609,6,952922050,
5A21000609,6,952922055,
5A22000179,6,1536325036,
5A22000179,7,1536325037,
5A22000179,7,1536325091,
5A22000179,7,1536327156,
5A22000179,8,1536327157,
5A22000179,9,1536327253,
5A22000179,15,1536327265,
5A22000179,16,1536327402,
5A22000179,17,1536327639,
5A22000179,18,1536327710,
5A22000179,19,1536328006,
5A22000179,20,1536328078,
5A22000179,1,1536328205,
5A22000179,2,1536328262,
5A22000179,3,1536328407,
5A22000179,2,1536328434,
5A22000179,2,1536328435,
5A22000179,2,1536328443,
5A22000179,2,1536328446,
5A22000179,3,1536328468,
5A22000179,3,1536328541,
5A22000179,3,1536328614,
5A22000179,3,1536328618,
5A22000179,3,1536328651,
5A22000179,4,1536328706,
5A22000179,5,1536328720,
5A22000179,6,1536328754,
5A22000179,2,1536330506,
5A22000179,1,1536330576,
5A22000179,97,1536330600,
5A22000179,98,1536330832,
5A22000179,98,1536330833,
5A22000179,6,1536330848,
5A22000179,6,1536331000,
5A22000179,6,1536331002,
5A22000179,99,1536331017,
5A22000179,100,1536331382,
5A22000179,101,1536331777,
5A22000179,102,1536332134,
5A22000179,58,1536332363,
5A22000179,103,1536332377,
5A22000179,104,1536332543,
5A22000179,108,1536332562,
5A22000179,111,1536332579,
5A22000179,108,1536332716,
5A22000179,108,1536332719,
5A22000179,108,1536332789,
5A22000179,109,1536332791,
5A22000179,98,1536333079,
5A22000179,98,1536333080,
5A22000179,98,1536333148,
5A22000179,98,1536333191,
5A22000179,2,1536333216,
5A22000179,4,1536333268,
5A22000179,5,1536333326,
5A22000179,6,1536333444,
5A22000179,7,1536333669,
5A22000179,8,1536333805,
5A22000179,9,1536333905,
5A22000179,1,1536334013,
5A22000179,1,1536334088,
5A22000179,1,1536334089,
5A22000179,2,1536334180,
5A22000179,3,1536334325,
5A22000179,13,1536334332,
5A22000179,3,1536334410,
5A22000179,4,1536334547,
5A22000179,5,1536334604,
5A22000179,5,1536336949,
5A22000179,6,1536336951,
5A22000179,1,1536337020,
5A22000179,3,1536337030,
5A22000179,97,1536337289,
5A22000179,97,1536337290,
5A22000179,20,1536337541,
5A22000179,15,1536337677,
5A22000179,16,1536337722,
5A22000179,19,1536337760,
5A22000179,20,1536337829,
5A22000179,37,1536337840,
5A22000179,98,1536337848,
5A22000179,110,1536337909,
5A22000179,111,1536337979,
5A22000179,70,1536338380,
5A22000179,70,1536338381,
5A22000179,71,1536338427,
5A22000179,71,1536338632,
5A22000179,71,1536338735,
5A22000179,11,1536386811,
5A22000179,97,1536386823,
5A22000179,97,1536386836,
5A22000179,97,1536386842,
5A22000179,97,1536386855,
5A22000179,97,1536386857,
5A22000179,97,1536386860,
5A22000179,97,1536386873,
5A22000179,97,1536387040,
5A22000179,97,1536387043,
5A22000179,13,1536467785,
5A22000179,42,1536467814,
5A22000179,42,1536467848,
5A22000179,42,1536467889,
5A22000179,42,1536467997,
5A22000179,97,1536468019,
5A22000179,97,1536468042,
5A22000179,97,1536468103,
5A22000179,98,1536468116,
5A22000179,98,1536468117,
5A22000179,98,1536468189,
5A22000179,98,1536468206,
5A22000179,98,1536468208,
5A22000179,98,1536468209,
5A22000179,98,1536468210,
5A22000179,111,1536468226,
5A22000179,111,1536468242,
5A22000179,111,1536468245,
5A22000179,111,1536468298,
5A22000179,111,1536468300,
5A22000179,8,1536468559,
5A22000179,8,1536468620,
5A22000179,8,1536469122,
5A22000179,8,1536469125,
5A22000179,8,1536469143,
5A22000179,9,1536469238,
5A22000179,11,1536469355,
5A22000179,11,1536469606,
5A22000179,12,1536469608,
5A22000179,13,1536469676,
5A22000179,14,1536469749,
5A22000179,15,1536469826,
5A22000179,16,1536469966,
5A22000179,17,1536470050,
5A22000179,11,1536470135,
5A22000179,98,1536471142,
5A22000179,2,1536471308,
5A22000179,3,1536471455,
5A22000179,4,1536471593,
5A22000179,5,1536471651,
5A22000179,6,1536471768,
5A22000179,7,1536471970,
5A22000179,8,1536472105,
5A22000179,98,1536472185,
5A22000179,98,1536472565,
5A22000179,99,1536472579,
5A22000179,104,1536472606,
5A22000179,109,1536472949,
5A22000179,107,1536473305,
5A22000179,108,1536473320,
5A22000179,103,1536473692,
5A22000179,20,1536473883,
5A22000179,20,1536474015,
5A22000179,18,1536474022,
5A22000179,60,1536474107,
5A22000179,12,1536475040,
5A22000179,12,1536475096,
5A22000179,12,1536475097,
5A22000179,13,1536475157,
5A22000179,14,1536475230,
5A22000179,15,1536475313,
5A22000179,16,1536475441,
5A22000179,17,1536475514,
5A22000179,18,1536475584,
5A22000179,19,1536475656,
5A22000179,20,1536475727,
5A22000179,107,1536475880,
5A22000179,99,1536477845,
5A22000179,6,1536477992,
5A22000179,20,1536478027,
5A22000179,20,1536478140,
5A22000179,20,1536478146,
5A22000179,20,1536478167,
5A22000179,20,1536478172,
5A22000179,20,1536478201,
5A22000179,69,1536478213,
5A22000179,71,1536478233,
5A22000179,71,1536478411,
5A22000179,98,1536480086,
5A22000179,98,1536480087,
5A22000179,109,1536480260,
5A22000179,2,1536480289,
5A22000179,101,1536482995,
5A22000179,101,1536482996,
5A22000179,11,1536483670,
5A22000179,15,1536483828,
5A22000179,15,1536483974,
5A22000179,16,1536484103,
5A22000179,98,1536484124,
5A22000179,99,1536484129,
5A22000179,102,1536484145,
5A22000179,102,1536484180,
5A22000179,103,1536484182,
5A22000179,102,1536484195,
5A22000179,102,1536484324,
5A22000179,103,1536484327,
5A22000179,103,1536484335,
5A22000179,104,1536484337,
5A22000179,104,1536484364,
5A22000179,102,1536484368,
5A22000179,60,1536484724,
5A22000179,60,1536484725,
5A22000179,97,1536484747,
5A22000179,97,1536484993,
5A22000179,98,1536485380,
5A22000179,99,1536485773,
5A22000179,100,1536487070,
5A22000179,101,1536487423,
5A22000179,104,1536487781,
5A22000179,59,1536487990,
5A22000179,58,1536488102,
5A22000179,61,1536488109,
5A22000179,59,1536488264,
5A22000179,103,1536488277,
5A22000179,103,1536488278,
5A22000179,98,1536488299,
5A22000179,15,1536488310,
5A22000179,15,1536488350,
5A22000179,108,1536488677,
5A22000179,11,1536488891,
5A22000179,12,1536489033,
5A22000179,10,1536489068,
5A22000179,11,1536489366,
5A22000179,2,1536489475,
5A22000179,3,1536489498,
5A22000179,14,1536491344,
5A22000179,15,1536491350,
5A22000179,15,1536491351,
5A22000179,15,1536491376,
5A22000179,1,1536545472,
5A22000179,98,1536548916,
5A22000179,98,1536549530,
5A22000179,99,1536549912,
5A22000179,100,1536550231,
5A22000179,100,1536550421,
5A22000179,98,1536550424,
5A22000179,10,1536654882,
5A22000179,11,1536654962,
5A22000179,1,1536655142,
5A22000179,65,1536655194,
5A22000179,71,1536655211,
5A22000179,71,1536655992,
5A22000179,38,1536656000,
5A22000179,101,1536656616,
5A22000179,102,1536656980,
5A22000179,103,1536657339,
5A22000179,104,1536657706,
5A22000179,105,1536658062,
5A22000179,107,1536658437,
5A22000179,108,1536658444,
5A22000179,109,1536658802,
5A22000179,109,1536658990,
5A22000179,110,1536659175,
5A22000179,111,1536659539,
5A22000179,20,1536660065,
5A22000179,20,1536660351,
5A22000179,98,1536660652,
