tablet_serial,video_id,start_time,end_time
5A21000494,15,948868305,
5A21000494,16,948868395,
5A21000494,16,948868420,
5A21000494,17,948868476,
5A21000494,16,948868491,
5A21000494,17,948868515,
5A21000494,17,948868590,
5A21000494,17,948868599,
5A21000494,12,948876757,
5A21000494,13,948876820,
5A21000494,14,948876885,
5A21000494,15,948876893,
5A21000494,14,948876895,
5A21000494,14,948876896,
5A21000494,14,948876918,
5A21000494,14,948876944,
5A21000494,15,948876981,
5A21000494,16,948877109,
5A21000494,17,948877180,
5A21000494,18,948877248,
5A21000494,19,948877317,
5A21000494,19,948877341,
5A21000494,2,948877415,
5A21000494,2,948877426,
5A21000494,3,948877570,
5A21000494,4,948877705,
5A21000494,5,948877761,
5A21000494,6,948877876,
5A21000494,7,948878176,
5A21000494,8,948878354,
5A21000494,9,948878443,
5A21000494,10,948878526,
5A21000494,11,948878607,
5A21000494,12,948878879,
5A21000494,13,948878942,
5A21000494,14,948879014,
5A21000494,15,948879093,
5A21000494,16,948879219,
5A21000494,17,948879295,
5A21000494,18,948879366,
5A21000494,19,948879436,
5A21000494,58,948879504,
5A21000494,2,948879907,
5A21000494,58,948880027,
5A21000494,58,948880069,
5A21000494,58,948880071,
5A21000494,59,948880167,
5A21000494,59,948880168,
5A21000494,36,948880280,
5A21000494,36,948880281,
5A21000494,37,948880329,
5A21000494,38,948880405,
5A21000494,15,948880446,
5A21000494,15,948880584,
5A21000494,15,948880614,
5A21000494,16,948880714,
5A21000494,17,948880784,
5A21000494,18,948880854,
5A21000494,37,948880915,
5A21000494,38,948880984,
5A21000494,39,948881055,
5A21000494,7,948881244,
5A21000494,8,948881420,
5A21000494,9,948881508,
5A21000494,10,948881597,
5A21000494,9,948881685,
5A21000494,12,948881716,
5A21000494,12,948881717,
5A21000494,13,948881798,
5A21000494,36,948881864,
5A21000494,15,948882403,
5A21000494,15,948882531,
5A21000494,16,948882656,
5A21000494,19,948882682,
5A21000494,2,948882787,
5A21000494,15,948921813,
5A21000494,15,948921943,
5A21000494,15,948921985,
5A21000494,15,948922049,
5A21000494,15,948922071,
5A21000494,16,948922079,
5A21000494,18,948922149,
5A21000494,18,948922176,
5A21000494,18,948922180,
5A21000494,18,948922228,
5A21000494,18,948922231,
5A21000494,18,948922271,
5A21000494,19,948922340,
5A21000494,19,948922388,
5A21000494,19,948922391,
5A21000494,58,948922421,
5A21000494,58,948922468,
5A21000494,12,948922496,
5A21000494,13,948922513,
5A21000494,13,948922543,
5A21000494,11,948955967,
5A21000494,15,948967795,
5A21000494,16,948967923,
5A21000494,17,948967992,
5A21000494,18,948968060,
5A21000494,19,948968128,
5A21000494,58,948968197,
5A21000494,58,948968295,
5A21000494,59,948968313,
5A21000494,36,948968427,
5A21000494,5,948968658,
5A21000494,5,948968659,
5A21000494,6,948968773,
5A21000494,6,948968971,
5A21000494,6,948968972,
5A21000494,7,948969259,
5A21000494,8,948969421,
5A21000494,9,948969586,
5A21000494,5,948969605,
5A21000494,6,948969718,
5A21000494,15,948969729,
5A21000494,6,948969857,
5A21000494,11,948969873,
5A21000494,15,949007307,
5A21000494,16,949007367,
5A21000494,38,949008270,
5A21000494,7,949008293,
5A21000494,8,949008469,
5A21000494,9,949008557,
5A21000494,9,949008579,
5A21000494,10,949008669,
5A21000494,10,949008717,
5A21000494,7,949008885,
5A21000494,38,949012173,
5A21000494,39,949012244,
5A21000494,39,949012355,
5A22000407,10,1486892251,
5A22000407,10,1486892337,
5A22000407,7,1486892381,
5A22000407,8,1486892563,
5A22000407,59,1486987044,
5A22000407,37,1486987046,
5A22000407,12,1486987052,
5A22000407,13,1486987061,
5A22000407,13,1486987062,
5A22000407,6,1486987074,
