tablet_serial,storybook_id,start_time,end_time
5A22000149,2837,1530107762,0
5A22000149,2837,1530108767,1530108861
5A22000149,2846,1530110255,1530110595
5A22000149,2850,1530111554,1530111612
5A22000149,2850,1530181418,1530181510
5A22000149,2851,1530181516,1530181574
5A22000149,2861,1530184235,1530184358
5A22000149,6523,1530190178,1531080611
5A22000149,4853,1530190436,1530190664
5A22000149,4853,1530190912,1530190915
5A22000149,4853,1530192334,1530192338
5A22000149,2851,1530192466,1530192530
5A22000149,6513,1530192829,1530542577
5A22000149,6514,1530192944,1530559582
5A22000149,6518,1530193102,1530193207
5A22000149,6519,1530193211,1530193266
5A22000149,6519,1530193271,0
5A22000149,6516,1530200261,1530200266
5A22000149,6520,1530200268,1530200274
5A22000149,6525,1530200274,1531334665
5A22000149,6519,1530200277,1530200279
5A22000149,6467,1530200280,1531318989
5A22000149,6478,1530200369,1530559449
5A22000149,6498,1530200394,1531080817
5A22000149,6472,1530200413,1531079785
5A22000149,6539,1530200482,1530200494
5A22000149,6538,1530200497,1530560661
5A22000149,6538,1530200556,1530200575
5A22000149,6494,1530200580,1530740250
5A22000149,6493,1530200586,1530542516
5A22000149,6538,1530200703,1530200708
5A22000149,6538,1530200710,0
5A22000149,6464,1530212649,1531419344
5A22000149,6463,1530212713,1530545405
5A22000149,6463,1530212732,1530212734
5A22000149,6463,1530212735,1530212741
5A22000149,6463,1530212748,1530212830
5A22000149,6498,1530212884,1530559552
5A22000149,6495,1530212975,1530557272
5A22000149,6460,1530213100,1531079778
5A22000149,6494,1530213170,1530213274
5A22000149,6499,1530213283,1531066311
5A22000149,6500,1530213376,1530213439
5A22000149,6501,1530213442,1531080168
5A22000149,6502,1530213563,1530213664
5A22000149,6503,1530213668,1531080725
5A22000149,6504,1530213770,1531319098
5A22000149,6505,1530213864,1530213966
5A22000149,6506,1530213973,1530820273
5A22000149,6507,1530214060,1531079801
5A22000149,6523,1530215329,1530740039
5A22000149,6501,1530215355,1531080344
5A22000149,6471,1530215803,1530559368
5A22000149,4853,1530215814,1530215817
5A22000149,6519,1530215887,1530215892
5A22000149,6492,1530215909,1530803745
5A22000149,6484,1530215988,1530542854
5A22000149,6486,1530216003,1530216056
5A22000149,6520,1530216065,1530216159
5A22000149,6480,1530216169,1530740976
5A22000149,6512,1530216230,1531079814
5A22000149,6510,1530216315,1530361864
5A22000149,6501,1530216395,1531319227
5A22000149,2941,1530255606,1530255669
5A22000149,2952,1530256885,1530257069
