team,village_id,week_end_date,tablet_serials_count,tablet_serials
CHIMPLE,29,2018-09-07,3,"['5A29001322', '5B12003784', '5B20001161']"
CHIMPLE,30,2018-09-07,6,"['5A28002606', '6115000412', '6115001462', '6116001381', '6116001395', '6116002168']"
CHIMPLE,32,2018-09-07,59,"['5A22000868', '5A22001064', '5A27000478', '5A27000844', '5A27001248', '5A27001312', '5A27001762', '5A27001822', '5A27002165', '5A27002204', '5A28000329', '5A28001196', '5A28001233', '5A29000465', '5A29000636', '5A29001415', '5B04000141', '5B07003403', '5B12002903', '5B13002478', '5B14001720', '6111000377', '6111000572', '6111000595', '6111001019', '6111001690', '6111001953', '6113000554', '6115000414', '6115000416', '6115000980', '6115001605', '6116001137', '6116001397', '6116001441', '6116001504', '6116001623', '6116001789', '6116001856', '6116002061', '6116002135', '6116002297', '6116002671', '6116002801', '6118001519', '6118001676', '6118002119', '6118002446', '6118002630', '6118002668', '6118002808', '6118002885', '6118003013', '6118003018', '6118003199', '6118003255', '6118003314', '6127002557', '6129000602']"
CHIMPLE,33,2018-09-07,6,"['5A27001666', '5B20001258', '6112001490', '6115000500', '6116001071', '6116001384']"
CHIMPLE,34,2018-09-07,3,"['5A22000905', '5A27001834', '5B20002283']"
CHIMPLE,35,2018-09-07,4,"['6111001892', '6116001711', '6129001151', '6129001258']"
CHIMPLE,36,2018-09-07,6,"['5A27000788', '5A28002201', '6111000058', '6114000120', '6116001564', '6118002535']"
CHIMPLE,38,2018-09-07,1,['6116001896']
CHIMPLE,39,2018-09-07,4,"['6111000808', '6114000463', '6115000458', '6129001130']"
CHIMPLE,40,2018-09-07,6,"['5A27000883', '5B13002468', '6116001760', '6118002262', '6118002594', '6129000660']"
CHIMPLE,41,2018-09-07,9,"['5B12002580', '6111000012', '6113001946', '6116000975', '6116001217', '6116002194', '6116002658', '6118002555', '6118002720']"
CHIMPLE,42,2018-09-07,3,"['5A27001538', '6116001294', '6116001524']"
CHIMPLE,43,2018-09-07,7,"['5A29001423', '5B20001167', '5B20001217', '6116002269', '6116002366', '6118002260', '6128000713']"
CHIMPLE,44,2018-09-07,2,"['5A27000434', '6118002623']"
CHIMPLE,45,2018-09-07,4,"['6111002113', '6116002167', '6118002601', '6118002805']"
CHIMPLE,47,2018-09-07,1,['5A27000655']
CHIMPLE,48,2018-09-07,3,"['5A27001494', '5A28001901', '6116001986']"
CHIMPLE,49,2018-09-07,2,"['5A27000924', '6115000602']"
CHIMPLE,50,2018-09-07,5,"['5A29000538', '5B20002343', '6116001355', '6116001922', '6129001095']"
CHIMPLE,51,2018-09-07,4,"['5A27002061', '5B12002932', '6118003194', '6126000252']"
CHIMPLE,52,2018-09-07,1,['5B20002321']
CHIMPLE,53,2018-09-07,7,"['5A27000580', '5A29000620', '5B12002757', '6116001377', '6116001499', '6116002280', '6129002320']"
CHIMPLE,54,2018-09-07,3,"['6116002870', '6118002989', '6129001326']"
CHIMPLE,56,2018-09-07,1,['5A22001194']
CHIMPLE,142,2018-09-07,2,"['6115002206', '6118003594']"
