team,village_id,week_end_date,tablet_serials_count,tablet_serials
CHIMPLE,29,2018-03-30,5,"['5A27000651', '5A27001398', '5A29000560', '5B04000036', '6118002859']"
CHIMPLE,30,2018-03-30,2,"['6111000736', '6118002582']"
CHIMPLE,31,2018-03-30,8,"['5A22000832', '5A28000969', '5A28002064', '6111001239', '6111001962', '6113000722', '6115001241', '6118002610']"
CHIMPLE,33,2018-03-30,4,"['6109000647', '6116002164', '6116002176', '6118003254']"
CHIMPLE,36,2018-03-30,7,"['5A28000346', '5A28002557', '6116000754', '6116001333', '6118002096', '6118002217', '6130000243']"
CHIMPLE,37,2018-03-30,4,"['5B13000689', '6115000438', '6116002654', '6118002228']"
CHIMPLE,38,2018-03-30,1,['6116001370']
CHIMPLE,39,2018-03-30,2,"['5B13000932', '6115001324']"
CHIMPLE,40,2018-03-30,3,"['5A29000641', '6116000878', '6118002179']"
CHIMPLE,41,2018-03-30,4,"['5A27001951', '5A29000723', '6115001460', '6118002334']"
CHIMPLE,42,2018-03-30,3,"['5A28000016', '5A28001168', '6116001234']"
CHIMPLE,44,2018-03-30,1,['6111002126']
CHIMPLE,45,2018-03-30,4,"['5A22000684', '6111001741', '6118002411', '6118002613']"
CHIMPLE,46,2018-03-30,1,['5B13002459']
CHIMPLE,48,2018-03-30,1,['5A27001477']
CHIMPLE,49,2018-03-30,2,"['5A27001796', '6116002173']"
CHIMPLE,50,2018-03-30,6,"['5A22000462', '5A27001395', '5B19001400', '6111000023', '6113000713', '6116001006']"
CHIMPLE,51,2018-03-30,5,"['5A28000938', '5A28000943', '5A28001240', '5A28001264', '6116001375']"
CHIMPLE,52,2018-03-30,3,"['5A22000736', '5A27001557', '6116002765']"
CHIMPLE,53,2018-03-30,4,"['5A28001643', '5A28001979', '6116001857', '6116002806']"
CHIMPLE,54,2018-03-30,1,['6112001123']
CHIMPLE,56,2018-03-30,3,"['5A28000347', '6116002028', '6129002283']"
CHIMPLE,142,2018-03-30,4,"['5A28000114', '6116001145', '6116001686', '6118002551']"
