Child ID,Village ID,Serial #1,Serial #2,Date #2,Serial #3,Date #3,Serial #4,Date #4,Serial #5,Date #5,Serial #6,Date #6,Serial #7,Date #7,Serial #8,Date #8,Serial #9,Date #9,Serial #10,Date #10,Serial #11,Date #11,Serial #12,Date #12,Serial #13,Date #13,Serial #14,Date #14
NBSCXW,53,6113001046,6114000067,2018-07-29,6118003262,2018-09-21,5A29000335,2018-12-21,,,,,,,,,,,,,,,,,,,,
AHRNNU,53,5B20001232,5A27001918,2018-07-29,5A28000209,2018-09-21,5B23001060,2018-12-21,,,,,,,,,,,,,,,,,,,,
AHAGNV,53,6116001857,,,,,,,,,,,,,,,,,,,,,,,,,,
KPGEQX,53,6111002100,,,,,,,,,,,,,,,,,,,,,,,,,,
HZSAPP,53,6113000237,,,,,,,,,,,,,,,,,,,,,,,,,,
WBWRNW,53,6118002732,6116001377,2018-07-29,5A22000971,2018-09-21,5A29000606,2018-12-21,,,,,,,,,,,,,,,,,,,,
VNPTWX,53,5A28000797,,,,,,,,,,,,,,,,,,,,,,,,,,
SCSZSN,53,6116002616,6116001499,2018-07-29,6126000428,2018-09-21,6118003232,2018-12-21,,,,,,,,,,,,,,,,,,,,
WCNUTT,53,5B20001158,6129002320,2018-07-29,6116001183,2018-09-21,6115000438,2018-12-21,,,,,,,,,,,,,,,,,,,,
BVQMUT,53,6116002326,6116001558,2018-07-29,6118002581,2018-09-21,6118003419,2018-12-21,,,,,,,,,,,,,,,,,,,,
WHKNVT,53,5A28001979,6116000854,2018-07-29,6118002595,2018-09-21,6111001837,2018-10-30,5A27001196,2018-12-21,,,,,,,,,,,,,,,,,,
ZTCBPP,53,6116002423,6114000061,2018-07-29,6116001346,2018-09-21,6116001327,2018-12-21,,,,,,,,,,,,,,,,,,,,
ZTSSAF,53,6116002806,,,,,,,,,,,,,,,,,,,,,,,,,,
WFAKQT,53,6118002696,5B12002757,2018-07-29,5B20001377,2018-09-21,5B20002348,2018-12-21,6126000165,2019-01-21,,,,,,,,,,,,,,,,,,
BRFHCQ,53,6111001778,6116001405,2018-07-29,6115000593,2018-09-21,6115000769,2018-11-20,6118002856,2018-12-21,5A28002152,2019-01-14,,,,,,,,,,,,,,,,
UTXVHN,53,6111000243,6118002588,2018-02-27,6116002280,2018-07-29,6113001697,2018-09-21,6115001467,2018-12-21,6118003610,2019-01-08,,,,,,,,,,,,,,,,
BGBNCU,53,6118002269,,,,,,,,,,,,,,,,,,,,,,,,,,
SPARE,53,5B13001010,5B13002494,2018-07-29,6111001837,2018-09-21,6115000769,2018-11-15,6116002579,2018-12-07,6118003610,2018-12-21,,,,,,,,,,,,,,,,
KFUMQH,54,6112001123,6116001025,2018-07-29,6118001932,2018-09-21,6118003176,2018-10-11,6111002033,2018-12-21,6116001707,2019-01-02,,,,,,,,,,,,,,,,
WCCZMY,54,6118002548,6109000807,2018-04-03,6116000875,2018-04-05,6116001598,2018-07-29,6116001342,2018-09-21,5B20002326,2018-10-11,6115001009,2018-12-21,,,,,,,,,,,,,,
REYSZR,54,5A28001415,6118002545,2018-05-09,6116001945,2018-07-29,6116002511,2018-09-21,5A28000368,2018-12-03,6116001329,2018-12-21,,,,,,,,,,,,,,,,
ZNFNXS,54,6116002300,5A27000404,2018-07-29,6118002618,2018-09-21,6118002835,2018-10-11,5B13002174,2018-11-20,6111001793,2018-12-21,6116001355,2019-02-04,,,,,,,,,,,,,,
GKARZR,54,6116001204,6118002067,2018-07-29,6113000632,2018-08-16,6111000906,2018-09-21,6116002393,2018-11-13,5B13001167,2018-12-21,,,,,,,,,,,,,,,,
PUAHUK,54,6118002981,6118002961,2018-04-19,6116002686,2018-04-26,6118002227,2018-07-29,6128001083,2018-09-05,5A27002022,2018-09-21,6114000576,2018-10-11,6118002392,2018-10-30,5A29001430,2018-12-21,,,,,,,,,,
ZBREFZ,54,5A28000988,,,,,,,,,,,,,,,,,,,,,,,,,,
QAFRPZ,54,5A27001901,6116001912,2018-03-22,6118002989,2018-07-29,6118002289,2018-09-21,6116000947,2018-12-21,,,,,,,,,,,,,,,,,,
RQAUMN,54,5A27001262,5A27001613,2017-12-21,5A27001432,2018-04-12,6116001582,2018-07-19,6129001326,2018-07-29,6129001197,2018-09-21,6118002431,2018-11-06,6116000796,2018-12-21,,,,,,,,,,,,
SPSNMK,54,5A28002562,6116002870,2018-07-29,5A29001381,2018-09-21,6111000211,2018-11-20,5A28002546,2018-12-21,,,,,,,,,,,,,,,,,,
SPARE,54,5A27001613,6109000807,2018-03-28,6118002545,2018-04-30,6116001582,2018-05-17,6113000632,2018-07-29,6114000576,2018-09-21,6116001707,2018-12-21,,,,,,,,,,,,,,
GNZFRM,55,5B05002169,5B13002105,2018-07-29,6115001503,2018-09-21,,2018-12-21,,,,,,,,,,,,,,,,,,,,
MGCERK,55,6112001128,6118001664,2018-03-07,5A27000362,2018-04-03,5A28002440,2018-07-29,6111000037,2018-09-21,5B20001146,2018-11-27,6115001489,2018-12-21,,,,,,,,,,,,,,
GNWHGM,55,6113001502,5B13001502,2018-07-29,5B20001809,2018-09-21,5A27000434,2018-12-21,,,,,,,,,,,,,,,,,,,,
MTYMKV,55,6115000409,5A21000494,2018-07-29,6115001405,2018-09-21,5A28000388,2018-12-21,,,,,,,,,,,,,,,,,,,,
RXWXMU,55,6116002082,6118003198,2018-07-29,6118001742,2018-09-21,6118002929,2018-12-21,,,,,,,,,,,,,,,,,,,,
GHAHSA,55,6114002051,5B14002051,2018-07-29,6126000209,2018-09-21,6115001477,2018-12-21,,,,,,,,,,,,,,,,,,,,
WQCAQE,55,6130000086,6116002531,2018-07-29,5A22000792,2018-09-21,5B13001009,2018-12-21,,,,,,,,,,,,,,,,,,,,
THABVT,55,6112001259,6111000734,2018-07-29,6118002789,2018-09-21,6116001018,2018-12-21,,,,,,,,,,,,,,,,,,,,
WBPZWH,55,6116001955,6116001888,2018-07-29,6109000655,2018-09-21,6116001673,2018-12-21,,,,,,,,,,,,,,,,,,,,
XVXCKB,55,6118002795,5B19001311,2018-07-29,6116002727,2018-09-21,6118001869,2018-12-21,,,,,,,,,,,,,,,,,,,,
YPCUCN,55,6113002263,6116001968,2018-07-29,5B20001185,2018-09-21,6116002289,2018-11-27,5A22001152,2018-12-21,,,,,,,,,,,,,,,,,,
TWUMRP,55,6118003302,6116002266,2018-07-29,6116002407,2018-09-21,6115001552,2018-12-21,,,,,,,,,,,,,,,,,,,,
WASFFP,55,6111000064,5B13000754,2018-07-29,6116002066,2018-09-21,6116002666,2018-12-21,,,,,,,,,,,,,,,,,,,,
QPYGQN,55,6116001651,6116001415,2018-07-29,6115001490,2018-09-21,5B20001908,2018-12-21,,,,,,,,,,,,,,,,,,,,
SPARE,55,5A28002692,6118002783,2018-06-21,6116001378,2018-07-29,6118002656,2018-09-21,5A22000957,2018-12-21,,,,,,,,,,,,,,,,,,
VQUGKK,56,5B04000101,6129001067,2018-07-29,6118002869,2018-09-21,5A29000454,,6116001903,2018-11-06,6111001042,2018-12-21,,,,,,,,,,,,,,,,
SCUYXP,56,5A27000353,6116002359,2018-07-29,6116001554,2018-09-21,6111000150,2018-11-27,6118003258,2018-12-21,,,,,,,,,,,,,,,,,,
EZSUYV,56,5A22001269,6118002498,2018-04-23,5A22001194,2018-07-29,5A29000454,2018-09-21,6114000085,2018-12-21,5A28000194,2019-01-08,,,,,,,,,,,,,,,,
AETQPR,56,6116001085,6118003475,2018-07-29,6116001851,2018-09-21,5B20001977,2018-12-21,,,,,,,,,,,,,,,,,,,,
WRSEBG,56,5B13002111,6111001344,,6129002283,2018-03-19,5A27001971,2018-07-29,5A23001417,2018-09-21,6116002777,2018-11-06,6116001139,2018-12-21,5A28000194,2019-01-14,,,,,,,,,,,,
XCFMHY,56,5A27001210,5A28001067,2018-03-05,5A27001051,2018-07-29,6116002048,2018-09-21,5A29001242,2018-12-21,,,,,,,,,,,,,,,,,,
GCHSZB,56,6118002651,5A28001067,2018-02-12,6126000075,2018-07-29,6116001840,2018-09-21,6116002704,2018-12-21,,,,,,,,,,,,,,,,,,
AVHBVM,56,6118001894,5A23001427,2018-05-23,6116001795,2018-07-29,6129001121,2018-09-21,5B20001144,2018-12-21,,,,,,,,,,,,,,,,,,
EXTRA,56,6113001710,6129002283,2018-04-16,6111002098,2018-07-29,6116001697,2018-09-21,6116001215,2018-12-21,,,,,,,,,,,,,,,,,,
EXTRA,56,6116001160,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTRA,56,6111001495,5A28001242,2018-08-01,6111001552,2018-09-21,6116001025,2018-12-21,,,,,,,,,,,,,,,,,,,,
EXTRA,56,5A22000624,5A28000307,2018-07-30,5A27002032,2018-09-21,6116001392,2018-12-21,,,,,,,,,,,,,,,,,,,,
EXTRA,56,5A22001016,5A28001786,2018-04-23,6111000472,2018-07-29,6116001328,2018-09-21,6116001154,2018-12-21,,,,,,,,,,,,,,,,,,
EXTRA,56,6116002028,6112001289,2018-07-29,5A27000649,2018-09-21,6116002602,2018-12-21,,,,,,,,,,,,,,,,,,,,
SPARE,56,6116001485,6111001476,2018-07-29,6116001903,2018-09-21,5B13002111,2018-12-21,,,,,,,,,,,,,,,,,,,,
VFVCBS,142,6116001252,6128001009,2018-04-19,6118002219,2018-07-05,5C07001011,2018-07-29,5A28001272,2018-09-21,6115001518,2018-12-21,,,,,,,,,,,,,,,,
CSKVBA,142,6116001145,5B13002384,2018-03-27,6112001321,2018-07-29,5A29001306,2018-09-05,6111001855,2018-09-21,6116002193,2018-10-04,6111002124,,6129001284,2018-12-21,,,,,,,,,,,,
YGRYYZ,142,6118002551,6116001704,2018-04-19,5A29001303,2018-07-29,6116001204,2018-09-21,6116001656,2018-12-21,,,,,,,,,,,,,,,,,,
HZBABB,142,6118002055,5A28000114,2018-03-06,6118002190,2018-07-05,5A29001242,2018-07-29,5A23002430,2018-09-21,6116001649,2018-12-21,,,,,,,,,,,,,,,,
SAVPUZ,142,6115001410,6118003240,2018-07-29,5A28001295,2018-09-21,6111000668,2018-10-18,6109000512,2018-12-21,,,,,,,,,,,,,,,,,,
QSTKGX,142,5B13001263,6114000045,2018-02-01,6118003035,2018-07-29,6118002081,2018-09-21,6129002203,2018-10-18,6118002617,2018-12-21,,,,,,,,,,,,,,,,
AUXWBG,142,5A27000742,5B20002437,2018-07-29,6118003319,2018-09-21,6118001536,2018-10-18,6115001384,2018-12-21,5B20002370,2019-01-29,,,,,,,,,,,,,,,,
HXXKNQ,142,6116001686,6128001247,2018-07-29,5B20001170,2018-09-21,6116002816,2018-12-21,6118002891,2018-12-24,,,,,,,,,,,,,,,,,,
XQQXEW,142,6116000794,6118003576,2018-07-29,5A28002272,2018-09-21,6118002102,2018-10-16,5A27000621,2018-12-21,6115000505,2019-02-04,,,,,,,,,,,,,,,,
VAMCYP,142,6116001708,6116000751,2018-06-06,6118003594,2018-07-29,6111001619,2018-09-21,6116002395,2018-10-18,5B12002824,2018-12-21,5B19000945,2019-01-07,6115001491,2019-02-04,,,,,,,,,,,,
ZMEGHV,142,6116001409,6118002277,2018-04-30,5B20002437,2018-07-29,6115002206,2018-08-29,6118002598,2018-09-21,6118002477,2018-10-18,6116002550,2018-11-27,5B20001381,2018-12-21,6118002645,2019-01-07,5B13001202,2019-02-04,,,,,,,,
SPARE,142,6111001761,6116002193,2018-09-21,,,6118002891,2018-12-21,,,,,,,,,,,,,,,,,,,,
