serial_number,closest_match,closest_match_percentage
6116002693,6116002699,0.9
6116002707,6116002708,0.9
6116002727,6116002721,0.9
6116002738,6116002739,0.9
6116002747,6116002744,0.9
6116002758,6116002759,0.9
6116002777,6116002775,0.9
6116002781,6116002786,0.9
6116002800,6116002806,0.9
6116002813,6116002812,0.9
6116002816,6116002812,0.9
6116002839,6116002838,0.9
6116002843,6116002844,0.9
6118001500,6118001509,0.9
6118002009,6118002002,0.9
6118002055,6118002052,0.9
6118002092,6118002096,0.9
6118002197,6118002198,0.9
6118002267,6118002269,0.9
6118002284,6118002289,0.9
6118002290,6118002796,0.8
6118002598,6118002599,0.9
6118002652,6118002651,0.9
6118002656,6118002651,0.9
6118002660,6118002668,0.9
6118002690,6118002697,0.9
6118002714,6118002718,0.9
6118002738,6118002732,0.9
6118002776,6118002779,0.9
6118002783,6118002782,0.9
6118002816,6118002808,0.8
6118002850,6118002859,0.9
6118002909,6118002904,0.9
6118002958,6118002959,0.9
6118002963,6118002961,0.9
6118002973,6118002974,0.9
6118003003,6118003009,0.9
6118003071,6118003074,0.9
6118003077,6118003074,0.9
6118003191,6118003199,0.9
6118003214,6118003255,0.8
6118003302,6118003309,0.9
6118003317,6118003314,0.9
6118003390,6118002397,0.8
6118003475,6118003074,0.8
6118003567,6118003568,0.9
6118003583,6118003581,0.9
6126000442,6126000428,0.8
6127001476,6115001474,0.7
6127002893,6127002557,0.7
6128000822,6128000880,0.8
6128001009,6128001083,0.8
6128001009,6128001083,0.8
6129001109,6129001107,0.9
6129001117,6129001313,0.8
6129001878,6129001876,0.9
6129002217,6129002219,0.9
6130000141,6130000176,0.8
6130000192,6130000194,0.9
