serial_number,closest_match,closest_match_percentage
6111001026,6111001097,0.8
6111001066,6111001097,0.8
6111001073,6111000075,0.8
6111001446,6111001491,0.8
6111001562,6116001560,0.8
6111001572,6111001875,0.8
6111001644,6111001148,0.8
6111001666,6111001665,0.9
6111001699,6111001491,0.8
6111001716,6111001715,0.9
6111001722,6111001727,0.9
6111001735,6111001734,0.9
6111001742,6111001754,0.8
6111001761,6111001754,0.8
6111001807,6111001802,0.9
6111001851,6111001852,0.9
6111001859,6111001852,0.9
6111001874,6111001875,0.9
6111001878,6111001875,0.9
6111001886,6111001083,0.8
6111001892,6111001491,0.8
6111001913,6111001995,0.8
6111002002,6111002001,0.9
6111002002,6111002001,0.9
6111002019,6111001011,0.8
6111002059,6111002050,0.9
6111002091,6111002095,0.9
6111002098,6111002095,0.9
6111002116,6111002113,0.9
6111002128,6111002143,0.8
6111002136,6111002132,0.9
6112000016,6112000112,0.8
6112000153,6112000152,0.9
6112000271,6112000251,0.8
6112001121,6112001529,0.8
6112001158,6111001157,0.8
6112001187,6112001102,0.8
6112001241,6116001248,0.8
6112001247,6116001248,0.8
6112001300,6112001102,0.8
6112001320,6112001529,0.8
6112001321,6112001529,0.8
6112001321,6112001529,0.8
6112002143,6111002143,0.8
6113000968,6114000971,0.7
6113000996,6113000799,0.8
6113001011,6111001011,0.8
6113001011,6111001011,0.8
6113001022,6113001045,0.8
6113001036,6113001032,0.9
6113001425,6115001428,0.8
6113001946,6113001045,0.8
6114000031,6114000059,0.8
6114000061,6114000067,0.9
6114000105,6114000199,0.8
6114000195,6114000199,0.9
6114000304,6114000008,0.8
6114000463,6114000469,0.9
6115000386,6115000383,0.9
6115000399,6115000397,0.9
6115000412,6115000404,0.8
6115000422,6115000420,0.9
6115000430,6115000434,0.9
6115000433,6115000434,0.9
6115000455,6115000404,0.8
6115000461,6115000404,0.8
6115000467,6115000404,0.8
6115000469,6115000404,0.8
6115000481,6115000404,0.8
6115000482,6115000404,0.8
6115000483,6115000404,0.8
6115000514,6115000510,0.9
6115000519,6115000510,0.9
6115000553,6115000510,0.8
6115000593,6115000397,0.8
6115000606,6115000404,0.8
6115000800,6115000404,0.8
6115000807,6115000404,0.8
6115000867,6115000564,0.8
6115001053,6115001552,0.8
6115001053,6115001552,0.8
6115001132,6115001195,0.8
6115001138,6115001195,0.8
6115001179,6115001195,0.8
6115001217,6115001241,0.8
6115001242,6115001241,0.9
6115001357,6115001358,0.9
6115001384,6115001489,0.8
6115001421,6115001428,0.9
6115001443,6115001489,0.8
6115001469,6115001467,0.9
6115001484,6115001489,0.9
6115001513,6115001518,0.9
6115001574,6115001552,0.8
6115001597,6115001195,0.8
6115001609,6115001103,0.8
6115001698,6115001195,0.8
6115002052,6111002050,0.8
6115002143,6111002143,0.8
6116000751,6116000795,0.8
6116000815,6116000839,0.8
6116000838,6116000839,0.9
6116000870,6116000839,0.8
6116000920,6116000925,0.9
6116000920,6116000925,0.9
6116000971,6116000976,0.9
6116000995,6116000795,0.8
6116000998,6116000795,0.8
6116001001,6116001036,0.8
6116001027,6116001025,0.9
6116001039,6116001036,0.9
6116001047,6116001248,0.8
6116001060,6116001068,0.9
6116001063,6116001068,0.9
6116001075,6116001071,0.9
6116001089,6116001084,0.9
6116001100,6116001139,0.8
6116001106,6116001139,0.8
6116001153,6116001154,0.9
6116001156,6116001154,0.9
6116001158,6116001154,0.9
6116001161,6116001560,0.8
6116001177,6116001172,0.9
6116001178,6116001172,0.9
6116001185,6116001139,0.8
6116001217,6116001215,0.9
6116001228,6116001229,0.9
6116001260,6116001267,0.9
6116001285,6116001248,0.8
6116001292,6116001293,0.9
6116001302,6116001373,0.8
6116001311,6116001314,0.9
6116001312,6116001314,0.9
6116001316,6116001314,0.9
6116001324,6116001322,0.9
6116001339,6116001335,0.9
6116001352,6116001355,0.9
6116001372,6116001373,0.9
6116001377,6116001373,0.9
6116001378,6116001373,0.9
6116001380,6116001387,0.9
6116001383,6116001387,0.9
6116001403,6116001454,0.8
6116001405,6116001454,0.8
6116001412,6116001413,0.9
6116001415,6116001413,0.9
6116001424,6116001454,0.8
6116001425,6116001454,0.8
6116001427,6116001454,0.8
6116001428,6116001454,0.8
6116001438,6116001454,0.8
6116001449,6116001454,0.8
6116001463,6116001454,0.8
6116001472,6116001479,0.9
6116001480,6116001481,0.9
6116001482,6116001481,0.9
6116001499,6116001493,0.9
6116001500,6116001560,0.8
6116001530,6116001732,0.8
6116001535,6116001732,0.8
6116001543,6116001541,0.9
6116001547,6116001541,0.9
6116001547,6116001541,0.9
6116001552,6116001553,0.9
6116001558,6116001553,0.9
6116001559,6116001553,0.9
6116001570,6116001671,0.8
6116001612,6116001617,0.9
6116001629,6116001624,0.9
6116001635,6116001732,0.8
6116001656,6116001650,0.9
6116001668,6116001664,0.9
6116001674,6116001671,0.9
6116001687,6116001681,0.9
6116001691,6116002699,0.8
6116001755,6116001757,0.9
6116001760,6116001767,0.9
6116001762,6116001767,0.9
6116001779,6116001777,0.9
6116001782,6116001780,0.9
6116001787,6116001780,0.9
6116001795,6116001793,0.9
6116001797,6116001793,0.9
6116001798,6116001793,0.9
6116001802,6116001805,0.9
6116001809,6116001805,0.9
6116001829,6116001823,0.9
6116001896,6116001096,0.8
6116001898,6116001096,0.8
6116001902,6116001953,0.8
6116001918,6116001953,0.8
6116001928,6116001929,0.9
6116001945,6116001248,0.8
6116001954,6116001953,0.9
6116001962,6116001964,0.9
6116001974,6116001978,0.9
6116002004,6116002002,0.9
6116002035,6116002085,0.8
6116002042,6116002085,0.8
6116002056,6116002055,0.9
6116002067,6116002060,0.9
6116002089,6116002085,0.9
6116002101,6116002196,0.8
