team,village_id,week_end_date,tablet_serials_count,tablet_serials
KITKIT,57,2018-05-11,2,"['5A23002589', '6116001964']"
KITKIT,58,2018-05-11,19,"['5A23001547', '5A27000561', '5A27001133', '5A27001891', '5A28002483', '5A28002564', '5B12003436', '5C02001252', '6111001715', '6115000901', '6115002167', '6116000837', '6116001116', '6116001232', '6116002205', '6116002251', '6116002257', '6116002484', '6127002728']"
KITKIT,59,2018-05-11,5,"['5A28000372', '5B20001213', '5B20001355', '6111002018', '6116002510']"
KITKIT,60,2018-05-11,12,"['5A27001466', '5A27001487', '5A28002152', '5B20001221', '5B20002224', '6109000660', '6111000722', '6115001384', '6118001757', '6118002209', '6118002376', '6129001061']"
KITKIT,61,2018-05-11,7,"['5A27001574', '6112001373', '6115001475', '6116000873', '6116002597', '6118002043', '6118002222']"
KITKIT,63,2018-05-11,16,"['5A27001448', '5A28000383', '5A28002324', '5B12002906', '5B12002960', '5B13002244', '6109000137', '6111000929', '6111001148', '6115000597', '6116001096', '6116002196', '6118002525', '6118002648', '6118002951', '6118003277']"
KITKIT,64,2018-05-11,19,"['5A27001127', '5A28002515', '5A28002609', '5A29000622', '5A29001255', '5B12003328', '6112000074', '6115000371', '6115000469', '6115000622', '6116001139', '6116001154', '6116002109', '6116002564', '6116002635', '6116002653', '6118001677', '6118002311', '6118002454']"
KITKIT,65,2018-05-11,12,"['5A22001062', '5A27001527', '5A27002062', '5B20001222', '6111000183', '6115001520', '6116001338', '6116001510', '6118002039', '6118002232', '6118003109', '6118003351']"
KITKIT,66,2018-05-11,4,"['5B20002370', '6111001157', '6116001115', '6118003513']"
KITKIT,68,2018-05-11,9,"['5A27001439', '5A27002111', '5A29001256', '5B13001007', '6111000941', '6115001519', '6115001541', '6116001036', '6116002212']"
KITKIT,69,2018-05-11,22,"['5A22000786', '5A27000524', '5A27001336', '5B12002649', '5B12002930', '5B12003441', '5B12003456', '5B20001122', '5B20001266', '5B20001321', '5B20002009', '5B20002339', '6111001805', '6115000388', '6115000396', '6115000458', '6116001996', '6116002567', '6116002655', '6118002055', '6118002741', '6118002922']"
KITKIT,70,2018-05-11,10,"['5A23002740', '5A27001645', '5A27001973', '5B12004770', '5B20001908', '5B20002310', '6111000177', '6116001664', '6118002158', '6118003284']"
KITKIT,71,2018-05-11,12,"['5A23002732', '5A27001361', '5B20000661', '5B20001235', '6115001103', '6115001489', '6116001175', '6118002076', '6118002790', '6118003066', '6118003227', '6118003355']"
KITKIT,72,2018-05-11,4,"['5A23002753', '5B04000073', '5B20001409', '6116001340']"
KITKIT,73,2018-05-11,15,"['5A22000407', '5A23001417', '5A27001932', '5A28000193', '5A28001737', '5B20001304', '6112000251', '6114000936', '6115000515', '6116000780', '6116001054', '6116001243', '6116002512', '6118001869', '6118002806']"
KITKIT,74,2018-05-11,5,"['5A27000291', '5B12004661', '5B20002371', '6111002085', '6118003046']"
KITKIT,75,2018-05-11,6,"['5A27001967', '5B23001012', '6116001035', '6116001568', '6116002060', '6116002698']"
KITKIT,76,2018-05-11,19,"['5A21000494', '5A22000957', '5A27000753', '5A27002002', '5B20001267', '6115000499', '6115001221', '6115001283', '6115001617', '6116001034', '6116001929', '6116002134', '6118002463', '6118002534', '6118002602', '6118002988', '6118003165', '6118003169', '6118003303']"
KITKIT,77,2018-05-11,20,"['5A22000082', '5A23002430', '5A27000685', '5A27001196', '5A28000307', '5A28000350', '5B12002787', '5B20002263', '5B20002313', '6111000158', '6111001632', '6115000549', '6116001305', '6116001337', '6116001419', '6116002370', '6118002533', '6118002783', '6118002977', '6118003123']"
KITKIT,78,2018-05-11,18,"['5A27001313', '5A28000854', '5A29001463', '5B20001169', '5B20001179', '5B20001186', '5B20002437', '6111001891', '6116001542', '6116001794', '6116002737', '6118002094', '6118002161', '6118002963', '6118003082', '6118003293', '6128000883', '6130000095']"
KITKIT,79,2018-05-11,17,"['5A27000569', '5A27001307', '5B20001354', '5B20002248', '6111000605', '6111001491', '6111001752', '6115001630', '6116001293', '6116001335', '6116001640', '6116001649', '6116002112', '6116002816', '6118001662', '6118002238', '6118002949']"
KITKIT,80,2018-05-11,21,"['5A27001545', '5A28000904', '5B20001212', '5B20001963', '5B20002344', '6111000211', '6111000340', '6111001146', '6111001431', '6115001544', '6116002477', '6116002699', '6118001701', '6118002061', '6118002283', '6118002620', '6118002912', '6118003020', '6118003300', '6118003321', '6118003507']"
