id,title,comprehension_questions,asset_path
2168,liketoread,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-liketoread/
2179,manwhosneezedloudly,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-manwhosneezedloudly/
2192,myfriends,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-myfriends/
2205,inthemarket,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-inthemarket/
2206,unasmellybeast,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-unasmellybeast/
2216,unasmellybeast,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-unasmellybeast/
2220,ranisfirstday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ranisfirstday/
2221,nothingtofear,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-nothingtofear/
2232,nothingtofear,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-nothingtofear/
2235,jadavforest,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-jadavforest/
2236,chifundoandadila,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-chifundoandadila/
2247,chifundoandadila,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-chifundoandadila/
2250,verybusyday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-verybusyday/
2251,kesiscabbages,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-kesiscabbages/
2262,kesiscabbages,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-kesiscabbages/
2265,favouritefriend,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-favouritefriend/
2277,ranisfirstday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ranisfirstday/
2289,jadavforest,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-jadavforest/
2300,verybusyday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-verybusyday/
2310,favouritefriend,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-favouritefriend/
2311,bheemawakeup,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bheemawakeup/
2322,bheemawakeup,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bheemawakeup/
2325,amazingdaisy,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-amazingdaisy/
2326,avanipea,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-avanipea/
2337,avanipea,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-avanipea/
2340,penguinshome,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-penguinshome/
2341,malusiasksquestions,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-malusiasksquestions/
2352,malusiasksquestions,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-malusiasksquestions/
2355,housemouse,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-housemouse/
2357,whyspidershavelonglegs,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-whyspidershavelonglegs/
2367,whyspidershavelonglegs,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-whyspidershavelonglegs/
2370,hippodance,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-hippodance/
2382,amazingdaisy,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-amazingdaisy/
2394,penguinshome,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-penguinshome/
2406,housemouse,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-housemouse/
2415,hippodance,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-hippodance/
2417,waybackhome,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-waybackhome/
2427,waybackhome,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-waybackhome/
2430,colours,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-colours/
2431,laratheladybird,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-laratheladybird/
2442,laratheladybird,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-laratheladybird/
2445,counttheanimals,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-counttheanimals/
2446,sleepymrsloth,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-sleepymrsloth/
2457,sleepymrsloth,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-sleepymrsloth/
2460,antanddove,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-antanddove/
2461,letsbuildahome,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-letsbuildahome/
2472,letsbuildahome,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-letsbuildahome/
2475,lostkey,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lostkey/
2487,colours,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-colours/
2498,counttheanimals,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-counttheanimals/
2508,antanddove,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-antanddove/
2520,lostkey,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lostkey/
2522,ralawantstofly,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ralawantstofly/
2532,ralawantstofly,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ralawantstofly/
2535,notafraid,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-notafraid/
2536,tortoisefindsherhouse,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-tortoisefindsherhouse/
2547,tortoisefindsherhouse,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-tortoisefindsherhouse/
2550,howantsaveddove,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-howantsaveddove/
2551,wherearetheyhiding,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-wherearetheyhiding/
2562,wherearetheyhiding,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-wherearetheyhiding/
2565,rabbitsears,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-rabbitsears/
2566,sparrowandsnake,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-sparrowandsnake/
2577,sparrowandsnake,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-sparrowandsnake/
2580,busy,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-busy/
2592,notafraid,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-notafraid/
2604,howantsaveddove,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-howantsaveddove/
2615,rabbitsears,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-rabbitsears/
2625,busy,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-busy/
2626,averytallman,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-averytallman/
2637,averytallman,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-averytallman/
2640,lorydory,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lorydory/
2641,thelostcows,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-thelostcows/
2652,thelostcows,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-thelostcows/
2655,magurulegs,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-magurulegs/
2656,ourfamily,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ourfamily/
2667,ourfamily,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ourfamily/
2670,mooncap,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-mooncap/
2671,someonelikeme,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-someonelikeme/
2681,someonelikeme,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-someonelikeme/
2685,dalitsosdream,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-dalitsosdream/
2696,lorydory,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lorydory/
2708,magurulegs,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-magurulegs/
2719,mooncap,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-mooncap/
2730,dalitsosdream,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-dalitsosdream/
2732,redball,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-redball/
2742,redball,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-redball/
2745,ilovetherain,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ilovetherain/
2746,rain,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-rain/
2756,rain,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-rain/
2760,noproblem,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-noproblem/
2761,laughingmum,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-laughingmum/
2772,laughingmum,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-laughingmum/
2775,simonsavestheday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-simonsavestheday/
2776,bestfriend,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bestfriend/
2787,bestfriend,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bestfriend/
2790,fatimasforestfriends,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-fatimasforestfriends/
2802,ilovetherain,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ilovetherain/
2813,noproblem,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-noproblem/
2825,simonsavestheday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-simonsavestheday/
2835,fatimasforestfriends,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-fatimasforestfriends/
2837,littlesock,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-littlesock/
2846,littlesock,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-littlesock/
2850,bedtimestories,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bedtimestories/
2851,temboumbrella,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-temboumbrella/
2861,temboumbrella,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-temboumbrella/
2865,theloosetooth,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-theloosetooth/
2866,dayzoo,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-dayzoo/
2875,dayzoo,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-dayzoo/
