team,village_id,week_end_date,tablet_serials_count,tablet_serials
ONEBILLION,86,2018-10-26,7,"['5A22000897', '5A27000814', '5A28001215', '5B20001369', '6111002104', '6115001453', '6116000875']"
ONEBILLION,87,2018-10-26,3,"['6115000561', '6115002258', '6118001895']"
ONEBILLION,90,2018-10-26,21,"['5A22001064', '5A27000478', '5A27000980', '5A27001395', '5A27001530', '5A28001979', '5B05001882', '5B20002255', '6111002172', '6112001272', '6115000481', '6116000890', '6116001129', '6116001579', '6118001671', '6118002196', '6118002213', '6118002796', '6118003014', '6118003334', '6129000366']"
ONEBILLION,91,2018-10-26,3,"['6111000377', '6111001073', '6116000842']"
ONEBILLION,92,2018-10-26,8,"['5A27001639', '5B12002653', '6116000886', '6116001472', '6116001687', '6118002588', '6118002783', '6126000507']"
ONEBILLION,93,2018-10-26,13,"['5A23002751', '5A28002562', '5B12003379', '5B13001544', '6115001443', '6116001178', '6116001522', '6116001788', '6116002806', '6118002610', '6129001165', '6129001498', '6129002191']"
ONEBILLION,94,2018-10-26,9,"['5A27001461', '5A27001951', '5A28000942', '5A28000969', '5B20002359', '6113001046', '6115000433', '6116001238', '6116001431']"
ONEBILLION,95,2018-10-26,1,['5A22000684']
ONEBILLION,96,2018-10-26,16,"['5A23002732', '5A27000071', '5A27000551', '5A28001923', '5B12002485', '5B20001232', '5B20002011', '6116001582', '6118001750', '6118002159', '6118002182', '6118002463', '6118002599', '6118003089', '6118003607', '6129000602']"
ONEBILLION,97,2018-10-26,17,"['5A27000801', '5A28000943', '5A28002450', '5A28002608', '5A29001286', '5B12002576', '5B12002906', '6111001962', '6112001259', '6115000455', '6116000758', '6116001012', '6116001194', '6116002316', '6116002596', '6118002762', '6118003293']"
ONEBILLION,98,2018-10-26,9,"['5A22000624', '5A27000777', '5A28001900', '6111001090', '6116001425', '6118002217', '6118002697', '6118003058', '6130000246']"
ONEBILLION,99,2018-10-26,16,"['5A27001765', '5A28001846', '5A29000723', '5A29001450', '5B13002240', '6111001026', '6111001366', '6112001320', '6114000203', '6115001907', '6116001829', '6116002059', '6118001628', '6118002568', '6118002582', '6118003209']"
ONEBILLION,101,2018-10-26,15,"['5A27002030', '5A28000410', '5A28002156', '5B20001196', '6111000369', '6111002045', '6113000722', '6115001303', '6116001234', '6116001370', '6116001596', '6116002283', '6118002165', '6118002990', '6118003587']"
ONEBILLION,102,2018-10-26,4,"['5B12002544', '6116001559', '6118002160', '6118003322']"
ONEBILLION,103,2018-10-26,7,"['5A28001044', '6111000169', '6111001697', '6116001231', '6116001480', '6118001758', '6129001333']"
ONEBILLION,104,2018-10-26,3,"['6116001333', '6116001893', '6129002178']"
ONEBILLION,105,2018-10-26,3,"['5B20002401', '6111001893', '6128000670']"
ONEBILLION,106,2018-10-26,1,['6116001857']
ONEBILLION,107,2018-10-26,10,"['5A28000830', '5A29000560', '5B20000661', '6109000675', '6115000554', '6116001191', '6116001452', '6116002694', '6116002812', '6118003275']"
ONEBILLION,108,2018-10-26,2,"['6116001366', '6129002194']"
ONEBILLION,109,2018-10-26,5,"['5A27001802', '5A28002660', '5B20002259', '6118003254', '6128000687']"
ONEBILLION,110,2018-10-26,15,"['5A23002686', '5A27001419', '5A28001014', '5B12002671', '6111000297', '6112001157', '6115001138', '6115001628', '6116001326', '6116002687', '6116002865', '6118001738', '6118001780', '6118002578', '6118002959']"
ONEBILLION,111,2018-10-26,9,"['5A27000917', '5B20002346', '6109001478', '6111001495', '6112000049', '6113001089', '6115001574', '6116001320', '6118002721']"
ONEBILLION,112,2018-10-26,5,"['5A27002193', '5A28000115', '5B20002263', '6111000708', '6116001302']"
ONEBILLION,113,2018-10-26,16,"['5A22000802', '5A22000832', '5A27000134', '5A27001630', '5A28000350', '5A29000350', '6111001722', '6111001783', '6111001862', '6111002168', '6112000018', '6115001466', '6116001050', '6116001503', '6116002209', '6118002248']"
