tablet_serial,storybook_id,start_time,end_time
5A27001666,31,946960803,
5A27001666,11,946961177,
5A27001666,22,946961457,
5A27001666,74,946997795,
5A27001666,61,946998610,
5A27001666,15,947043088,
5A27001666,27,947045298,
5A27001666,45,947085965,
5A27001666,12,947087389,
5A27001666,30,947087781,
5A27001666,30,947088060,
5A27001666,33,947088487,
5A27001666,39,947088826,
5A27001666,57,947112376,
5A29001423,6,1484046106,
5A29001423,21,1484069196,
5A29001423,31,1484069779,
5A29001423,22,1484071140,
5A29001423,74,1484221477,
5A29001423,61,1484222085,
5A29001423,15,1484245362,
6111001496,5,946776761,
6115001203,15,1487074709,
6115001203,27,1487087065,
6116001047,44,946778402,
6116001047,29,946877451,
6116001047,76,946899199,
6116001047,47,946901120,
6116001159,73,1534164413,
6116001159,12,1534168034,
6116001159,33,1534170664,
6116001159,4,1534252741,
6116001159,60,1534277741,
6116001159,42,1534446753,
6116001159,23,1534458735,
6116001159,8,1534515291,
6116001159,36,1534516132,
6116001159,17,1534517138,
6116001159,67,1534517483,
6116001159,68,1534798914,
6116001159,62,1534799517,
6116001159,63,1534800152,
6116001159,69,1534880383,
6116001159,37,1534880959,
6116001159,64,1534881340,
6116001159,25,1534882411,
6116001159,44,1535108211,
6116001159,48,1535404342,
6116001292,11,946731797,
6116001292,75,946732252,
6116001292,44,946754644,
6116001292,64,946912546,
6116001292,70,946912931,
6116001292,38,946913220,
6116001292,25,946913496,
6116001292,26,946913740,
6116001902,40,946789725,
6116001902,13,948138395,
6116001902,50,948159650,
6116002583,63,1533289471,
6116002583,25,1533295664,
6116002583,44,1533297076,
6116002583,54,1533316015,
6116002583,46,1533548335,
6116002583,47,1533548863,
6116002583,49,1533549211,
6116002583,51,1533549893,
6116002583,32,1533554065,
6118002858,44,946737913,
6118002858,52,946740463,
6118002858,76,946821043,
6118002858,46,946821628,
6118002858,47,946822810,
6118002858,58,947124369,
6118002858,5,947125611,
6118002858,20,947126181,
6129002082,35,946887525,
6129002082,15,947578634,
6129002082,11,947579019,
