tablet_serial,storybook_id,start_time,end_time
5A27000674,11,1484056433,
5A27000674,71,1484252126,
5A27000674,7,1484397421,
5A27000674,33,1484400232,
5A29000336,6,1483733878,
5A29000336,21,1483734127,
5A29000336,31,1483734401,
5A29000336,22,1483735172,
5B20002399,40,1534259436,
5B20002399,27,1534260016,
5B20002399,57,1534276977,
5B20002399,4,1534279885,
6116001511,3,1484261197,
6116001511,21,1484261484,
6116001511,31,1484345690,
6116001902,12,946795572,
6116001902,30,946838087,
6116002366,6,1484669644,
6116002366,21,1484770964,
6116002366,31,1484771408,
6116002366,11,1484944196,
6116002366,22,1484944513,
6118002048,73,946764788,
6118002048,12,946765395,
6118002048,33,946770186,
6118002048,40,946775769,
6118002048,41,946820119,
6118002048,57,947037512,
6118002048,4,947038027,
6118002262,21,1533499591,
6118002262,71,1533845591,
6118002262,12,1533910033,
6118002262,30,1533910480,
6118002773,11,946918580,
